table_name	source_type	source	priority	profile_mode	domain	subdomain	atlas_role	load_strategy	db_name	schema	table	expected_resource_id	display_name	current_source_key	preferred_schema	preferred_table	known_aliases	resolver_type	resolution_priority	expected_availability	legacy_resolution_method	requires_direct_sql	requires_manual_file	requires_special_handling	known_unavailable	notes	legacy_known_unavailable	current_known_unavailable	current_resolver_configured	requires_production_validation	regression_candidate
pato	dataset	SDS_pato	15	summary	SDS	Pathology	pathology source	auto			SDS_pato	pato	PATOBANK coded pathology	SDS_pato		SDS_pato	SDS_pato;pato;PATOBANK	standard_table	15	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_mikro	dataset	SDS_t_mikro_ny	16	summary	SDS	Pathology text	pathology text source	auto	import	public	SDS_t_mikro_ny	t_mikro	PATOBANK microscopy text	SDS_t_mikro_ny	import.public	SDS_t_mikro_ny	SDS_t_mikro;SDS_t_mikro_ny;SDS_t_mikro_ny_distinct;t_mikro;t_mikro_ny	direct_sql	16	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 after load_dataset did not expose a data frame.	FALSE	FALSE	TRUE	TRUE	FALSE
t_konk	dataset	SDS_t_konk_ny	17	summary	SDS	Pathology text	pathology text source	auto	import	public	SDS_t_konk_ny	t_konk	PATOBANK conclusion text	SDS_t_konk_ny	import.public	SDS_t_konk_ny	SDS_t_konk;SDS_t_konk_ny;t_konk;t_konk_ny	direct_sql	17	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 after load_dataset did not expose a data frame.	FALSE	FALSE	TRUE	TRUE	FALSE
lab_forsker	dataset	SDS_lab_forsker	18	summary	SDS	Laboratory	laboratory source	auto			SDS_lab_forsker	lab_forsker	LABKA/SDS lab results	SDS_lab_forsker		SDS_lab_forsker	SDS_lab_forsker;lab_forsker;SDS_laboratorieproevesvar;LABKA	standard_table	18	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
t_doedsaarsag	dataset	SDS_t_dodsaarsag_2	19	summary	SDS	Mortality	mortality source	auto	import	public	SDS_t_dodsaarsag_2	t_doedsaarsag	Cause of death	SDS_t_dodsaarsag_2	import.public	SDS_t_dodsaarsag_2	SDS_t_doedsaarsag;t_doedsaarsag;SDS_t_dodsaarsag_2;SDS_dodsaarsag	direct_sql	19	available	direct_sql_name_variant	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 6 name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
t_tumor	dataset	SDS_tumor_aarlig	20	summary	SDS	Tumor registry	tumor source	auto			SDS_tumor_aarlig	t_tumor	Tumor register	SDS_tumor_aarlig		SDS_tumor_aarlig	SDS_t_tumor;t_tumor;SDS_tumor_aarlig;SDS_tumor	standard_table	20	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
kontakter	dataset	SDS_kontakter	21	summary	SDS	LPR3	contact source	auto			SDS_kontakter	kontakter	Contacts	SDS_kontakter		SDS_kontakter	SDS_kontakter;kontakter	standard_table	21	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
forloeb	dataset	SDS_forloeb	22	summary	SDS	LPR3	episode/source table	auto			SDS_forloeb	forloeb	Care pathways	SDS_forloeb		SDS_forloeb	SDS_forloeb;forloeb	standard_table	22	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
diagnoser	dataset	SDS_diagnoser	23	summary	SDS	LPR3	source table	auto			SDS_diagnoser	diagnoser	LPR3 diagnoses	SDS_diagnoser		SDS_diagnoser	SDS_diagnoser;diagnoser	standard_table	23	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
forloebsmarkoerer	dataset	SDS_forloebsmarkoerer	24	summary	SDS	LPR3	source table	auto			SDS_forloebsmarkoerer	forloebsmarkoerer	Care-pathway markers	SDS_forloebsmarkoerer		SDS_forloebsmarkoerer	SDS_forloebsmarkoerer;forloebsmarkoerer	standard_table	24	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
organisationer	dataset	SDS_organisationer	25	summary	SDS	Reference	source table	auto			SDS_organisationer	organisationer	Organisations	SDS_organisationer		SDS_organisationer	SDS_organisationer;organisationer	standard_table	25	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
procedure_kirurgi	dataset	SDS_procedurer_kirurgi	26	summary	SDS	LPR3 procedure	procedure source	auto	import	public	SDS_procedurer_kirurgi	procedure_kirurgi	Surgical procedures	SDS_procedurer_kirurgi	import.public	SDS_procedurer_kirurgi	SDS_procedure_kirurgi;SDS_procedurer_kirurgi;procedure_kirurgi;procedurer_kirurgi	direct_sql	26	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
procedure_andre	dataset	SDS_procedurer_andre	27	summary	SDS	LPR3 procedure	procedure source	auto	import	public	SDS_procedurer_andre	procedure_andre	Other procedures	SDS_procedurer_andre	import.public	SDS_procedurer_andre	SDS_procedure_andre;SDS_procedurer_andre;procedure_andre;procedurer_andre	direct_sql	27	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
resultater	dataset	SDS_resultater	28	summary	SDS	LPR3 results	source table	auto			SDS_resultater	resultater	Results	SDS_resultater		SDS_resultater	SDS_resultater;resultater	standard_table	28	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
SP_Administreret_Medicin	dataset	SP_AdministreretMedicin	29	summary	SP	EHR medication administration	medication administration	auto	import	public	SP_AdministreretMedicin	SP_Administreret_Medicin	SP administered medicine	SP_AdministreretMedicin	import.public	SP_AdministreretMedicin	SP_Administreret_Medicin;SP_AdministreretMedicin;Administreret_Medicin;AdministreretMedicin	direct_sql	29	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
SP_ADT_Haendelser	dataset	SP_ADT_haendelser	30	summary	SP	EHR ADT	encounter source	auto	import	public	SP_ADT_haendelser	SP_ADT_Haendelser	SP ADT events	SP_ADT_haendelser	import.public	SP_ADT_haendelser	SP_ADT_Haendelser;SP_ADT_haendelser;ADT_Haendelser	direct_sql	30	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
Aktive_Problemliste_Diagnoser	dataset	SP_AktiveProblemlisteDiagnoser	31	summary	SP	EHR diagnosis	diagnosis source	auto	import	public	SP_AktiveProblemlisteDiagnoser	Aktive_Problemliste_Diagnoser	SP active problem diagnoses	SP_AktiveProblemlisteDiagnoser	import.public	SP_AktiveProblemlisteDiagnoser	SP_Aktive_Problemliste_Diagnoser;Aktive_Problemliste_Diagnoser;SP_AktiveProblemlisteDiagnoser	direct_sql	31	available	direct_sql_name_variant	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 6 CamelCase variant.	FALSE	FALSE	TRUE	TRUE	FALSE
SP_AlleProvesvar	dataset	SP_AlleProvesvar	32	summary	SP	EHR laboratory	laboratory source	auto			SP_AlleProvesvar	SP_AlleProvesvar	SP all lab results	SP_AlleProvesvar		SP_AlleProvesvar	SP_AlleProvesvar;SP_AlleProevesvar;AlleProvesvar;AlleProevesvar	standard_table	32	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Behandlingskontakter_diagnoser	dataset	SP_BehandlingskontakterOgDiagnoser	33	summary	SP	EHR contacts/diagnosis	encounter source	auto	import	public	SP_BehandlingskontakterOgDiagnoser	Behandlingskontakter_diagnoser	SP treatment contacts and diagnoses	SP_BehandlingskontakterOgDiagnoser	import.public	SP_BehandlingskontakterOgDiagnoser	SP_Behandlingskontakter_diagnoser;Behandlingskontakter_diagnoser;SP_BehandlingskontakterOgDiagnoser	direct_sql	33	available	direct_sql_name_variant	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 6 name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
Behandlingsplaner_del1	dataset	SP_Behandlingsplaner_Del1	34	summary	SP	EHR treatment plans	treatment plan source	auto	import	public	SP_Behandlingsplaner_Del1	Behandlingsplaner_del1	SP treatment plans del1	SP_Behandlingsplaner_Del1	import.public	SP_Behandlingsplaner_Del1	SP_Behandlingsplaner_del1;SP_Behandlingsplaner_Del1;Behandlingsplaner_del1;Behandlingsplaner_Del1	direct_sql	34	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
Behandlingsplaner_del2	dataset	SP_Behandlingsplaner_Del2	35	summary	SP	EHR treatment plans	treatment plan source	auto	import	public	SP_Behandlingsplaner_Del2	Behandlingsplaner_del2	SP treatment plans del2	SP_Behandlingsplaner_Del2	import.public	SP_Behandlingsplaner_Del2	SP_Behandlingsplaner_del2;SP_Behandlingsplaner_Del2;Behandlingsplaner_del2;Behandlingsplaner_Del2	direct_sql	35	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
Bloddyrkning_del1	dataset	SP_Bloddyrkning_del1	36	summary	SP	Microbiology	microbiology source	auto			SP_Bloddyrkning_del1	Bloddyrkning_del1	SP blood culture del1	SP_Bloddyrkning_del1		SP_Bloddyrkning_del1	SP_Bloddyrkning_del1;SP_Bloddyrkning_Del1;Bloddyrkning_del1	standard_table	36	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Bloddyrkning_del2	dataset	SP_Bloddyrkning_del2	37	summary	SP	Microbiology	microbiology source	auto			SP_Bloddyrkning_del2	Bloddyrkning_del2	SP blood culture del2	SP_Bloddyrkning_del2		SP_Bloddyrkning_del2	SP_Bloddyrkning_del2;SP_Bloddyrkning_Del2;Bloddyrkning_del2	standard_table	37	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Bloddyrkning_del3	dataset	SP_Bloddyrkning_del3	38	summary	SP	Microbiology	microbiology source	auto			SP_Bloddyrkning_del3	Bloddyrkning_del3	SP blood culture del3	SP_Bloddyrkning_del3		SP_Bloddyrkning_del3	SP_Bloddyrkning_del3;SP_Bloddyrkning_Del3;Bloddyrkning_del3	standard_table	38	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Bloddyrkning_del4	dataset	SP_Bloddyrkning_del4	39	summary	SP	Microbiology	microbiology source	auto			SP_Bloddyrkning_del4	Bloddyrkning_del4	SP blood culture del4	SP_Bloddyrkning_del4		SP_Bloddyrkning_del4	SP_Bloddyrkning_del4;SP_Bloddyrkning_Del4;Bloddyrkning_del4	standard_table	39	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Flytningshistorik	dataset	SP_Flytningshistorik	40	summary	SP	EHR movement	encounter source	auto			SP_Flytningshistorik	Flytningshistorik	SP transfer history	SP_Flytningshistorik		SP_Flytningshistorik	SP_Flytningshistorik;Flytningshistorik	standard_table	40	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
ITAOphold	dataset	SP_ITAOphold	41	summary	SP	EHR ICU	ICU source	auto			SP_ITAOphold	ITAOphold	SP ICU stays	SP_ITAOphold		SP_ITAOphold	SP_ITAOphold;SP_ITA_Ophold;ITAOphold;ITA_Ophold	standard_table	41	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Journalnotater_del1	dataset	SP_Journalnotater_Del1	42	summary	SP	EHR notes	notes source	auto	import	public	SP_Journalnotater_Del1	Journalnotater_del1	SP notes del1	SP_Journalnotater_Del1	import.public	SP_Journalnotater_Del1	SP_Journalnotater_del1;SP_Journalnotater_Del1;Journalnotater_del1;Journalnotater_Del1	direct_sql	42	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
Journalnotater_del2	dataset	SP_Journalnotater_Del2	43	summary	SP	EHR notes	notes source	auto	import	public	SP_Journalnotater_Del2	Journalnotater_del2	SP notes del2	SP_Journalnotater_Del2	import.public	SP_Journalnotater_Del2	SP_Journalnotater_del2;SP_Journalnotater_Del2;Journalnotater_del2;Journalnotater_Del2	direct_sql	43	available	direct_sql_alias_or_table_pattern	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 4 table-name variant.	FALSE	FALSE	TRUE	TRUE	FALSE
OrdineretMedicin	dataset	SP_OrdineretMedicin	44	summary	SP	EHR medication order	medication order	auto			SP_OrdineretMedicin	OrdineretMedicin	SP ordered medicine	SP_OrdineretMedicin		SP_OrdineretMedicin	SP_OrdineretMedicin;SP_Ordineret_Medicin;OrdineretMedicin	standard_table	44	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
SP_PatientInfo	dataset	SP_PatientInfo	45	summary	SP	EHR demographics	demographic source	auto			SP_PatientInfo	SP_PatientInfo	SP patient info	SP_PatientInfo		SP_PatientInfo	SP_PatientInfo;PatientInfo	standard_table	45	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
SP_Social_Hx	dataset	SP_Social_Hx	46	summary	SP	EHR social history	social history source	auto			SP_Social_Hx	SP_Social_Hx	SP social history	SP_Social_Hx		SP_Social_Hx	SP_Social_Hx;SP_SocialHX;SP_SocialHx;SocialHX;SocialHx	standard_table	46	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
SP_VitaleVaerdier	dataset	SP_VitaleVaerdier	47	summary	SP	EHR vital signs	vitals source	auto			SP_VitaleVaerdier	SP_VitaleVaerdier	SP vital signs	SP_VitaleVaerdier		SP_VitaleVaerdier	SP_VitaleVaerdier;SP_VitaleVaerdier;VitaleVaerdier	standard_table	47	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Behandlingsniveau	dataset	SP_Behandlingsniveau	48	summary	SP	EHR care level	EHR source	auto			SP_Behandlingsniveau	Behandlingsniveau	SP treatment level	SP_Behandlingsniveau		SP_Behandlingsniveau	SP_Behandlingsniveau;Behandlingsniveau	standard_table	48	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
BilleddiagnostikeUndersøgelser_Del1	dataset	SP_BilleddiagnostiskeUndersøgelser_Del1	49	summary	SP	EHR imaging metadata	imaging metadata source	auto	import	public	SP_BilleddiagnostiskeUndersøgelser_Del1	BilleddiagnostikeUndersøgelser_Del1	SP imaging del1	SP_BilleddiagnostiskeUndersøgelser_Del1	import.public	SP_BilleddiagnostiskeUndersøgelser_Del1	SP_BilleddiagnostikeUndersoegelser_Del1;SP_BilleddiagnostiskeUndersoegelser_Del1;SP_BilleddiagnostiskeUndersøgelser_Del1;BilleddiagnostikeUndersøgelser_Del1	direct_sql	49	available	direct_sql_name_variant	TRUE	FALSE	FALSE	FALSE	Resolved by legacy Part 6 spelling/encoding variant.	FALSE	FALSE	TRUE	TRUE	FALSE
BilleddiagnostikeUndersøgelser_Del2	dataset	SP_BilleddiagnostikeUndersoegelser_Del2	50	schema	SP	EHR imaging report text	imaging text source	auto	import	public	SP_BilleddiagnostiskeUndersøgelser_Del2	BilleddiagnostikeUndersøgelser_Del2	SP imaging del2	SP_BilleddiagnostikeUndersoegelser_Del2	import.public	SP_BilleddiagnostiskeUndersøgelser_Del2	SP_BilleddiagnostikeUndersoegelser_Del2;SP_BilleddiagnostiskeUndersoegelser_Del2;SP_BilleddiagnostikeUndersogelser_Del2;SP_BilleddiagnostiskeUndersogelser_Del2;SP_BilleddiagnostikeUndersøgelser_Del2;SP_BilleddiagnostiskeUndersøgelser_Del2;BilleddiagnostikeUndersøgelser_Del2;BilleddiagnostiskeUndersøgelser_Del2;BilleddiagnostikeUndersogelser_Del2;BilleddiagnostiskeUndersogelser_Del2	direct_sql	50	legacy_unavailable_current_candidate	last_resort_absence_search; current_candidate_aliases	TRUE	FALSE	FALSE	FALSE	Legacy Part 6/7 did not find Del2, but current source-map/preflight/alias code contains Del2 candidates. Treat as legacy-unavailable current resolver candidate until production validation proves absence.	TRUE	FALSE	TRUE	TRUE	possible_current_candidate
microbiology_analysis	dataset	PERSIMUNE_microbiology_analysis	51	summary	Laboratory / curated	Microbiology	microbiology source	auto			PERSIMUNE_microbiology_analysis	microbiology_analysis	PERSIMUNE microbiology analysis	PERSIMUNE_microbiology_analysis		PERSIMUNE_microbiology_analysis	PERSIMUNE_microbiology_analysis;microbiology_analysis	standard_table	51	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
microbiology_culture	dataset	PERSIMUNE_microbiology_culture	52	summary	Laboratory / curated	Microbiology	microbiology source	auto			PERSIMUNE_microbiology_culture	microbiology_culture	PERSIMUNE microbiology culture	PERSIMUNE_microbiology_culture		PERSIMUNE_microbiology_culture	PERSIMUNE_microbiology_culture;microbiology_culture	standard_table	52	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
microbiology_culture_resistance	dataset	PERSIMUNE_microbiology_culture_resistance	53	summary	Laboratory / curated	Microbiology	microbiology source	auto			PERSIMUNE_microbiology_culture_resistance	microbiology_culture_resistance	PERSIMUNE microbiology resistance	PERSIMUNE_microbiology_culture_resistance		PERSIMUNE_microbiology_culture_resistance	PERSIMUNE_microbiology_culture_resistance;microbiology_culture_resistance	standard_table	53	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
microbiology_microscopy	dataset	PERSIMUNE_microbiology_microscopy	54	summary	Laboratory / curated	Microbiology	microbiology source	auto			PERSIMUNE_microbiology_microscopy	microbiology_microscopy	PERSIMUNE microbiology microscopy	PERSIMUNE_microbiology_microscopy		PERSIMUNE_microbiology_microscopy	PERSIMUNE_microbiology_microscopy;microbiology_microscopy	standard_table	54	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
biochemistry	dataset	PERSIMUNE_biochemistry	55	summary	Laboratory / curated	Biochemistry	laboratory source	auto			PERSIMUNE_biochemistry	biochemistry	PERSIMUNE biochemistry	PERSIMUNE_biochemistry		PERSIMUNE_biochemistry	PERSIMUNE_biochemistry;biochemistry	standard_table	55	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
IGHVIMGT	dataset	LAB_IGHVIMGT	56	summary	Laboratory / curated	Molecular lab	molecular lab source	auto			LAB_IGHVIMGT	IGHVIMGT	IGHV IMGT	LAB_IGHVIMGT		LAB_IGHVIMGT	LAB_IGHVIMGT;IGHVIMGT	standard_table	56	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
Flowcytometry	dataset	LAB_Flowcytometry	57	summary	Laboratory / curated	Flow cytometry	flow cytometry source	auto			LAB_Flowcytometry	Flowcytometry	Flow cytometry	LAB_Flowcytometry		LAB_Flowcytometry	LAB_Flowcytometry;Flowcytometry	standard_table	57	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
FISH	dataset	RKKP_CLL/RKKP_DaMyDa FISH fields	58	schema	Laboratory / curated	Cytogenetics	cytogenetics source	skipped_risky_full_load				FISH	FISH cytogenetics	RKKP_CLL/RKKP_DaMyDa FISH fields		RKKP_CLL/RKKP_DaMyDa FISH fields	LAB_FISH;FISH;fish;RKKP_CLL_FISH_columns	embedded_fields	58	special_manual_or_embedded	special_manual_embedded	FALSE	FALSE	TRUE	FALSE	Final V33 HTML part4_resolved marks LAB_FISH resolved as embedded FISH evidence in RKKP_CLL and RKKP_DaMyDa; checked-in TSVs do not show a standalone LAB_FISH table.	FALSE	FALSE	TRUE	FALSE	FALSE
CLLPANEL_WIDE	dataset	LAB_CLLPANEL_WIDE	59	summary	Laboratory / curated	Molecular panel	molecular lab source	auto			LAB_CLLPANEL_WIDE	CLLPANEL_WIDE	CLL panel wide	LAB_CLLPANEL_WIDE		LAB_CLLPANEL_WIDE	LAB_CLLPANEL_WIDE;CLLPANEL_WIDE	standard_table	59	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
BIOBANK_SAMPLES	dataset	LAB_BIOBANK_SAMPLES	60	summary	Laboratory / curated	Biobank	biobank source	auto			LAB_BIOBANK_SAMPLES	BIOBANK_SAMPLES	Biobank samples	LAB_BIOBANK_SAMPLES		LAB_BIOBANK_SAMPLES	LAB_BIOBANK_SAMPLES;BIOBANK_SAMPLES	standard_table	60	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
CLL_TREAT	dataset	CLL_TREAT	61	summary	Curated	Treatment cohort	curated treatment source	auto			CLL_TREAT	CLL_TREAT	CLL treatment curated	CLL_TREAT		CLL_TREAT	CLL_TREAT;CLL_2ND_LINE_TREATMENT	standard_table	61	available	standard_load_dataset	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	TRUE	TRUE	FALSE
