"query_id","output_file","denominator","data_point","timing_window","tables_used","person_key_used","date_anchor_used","value_rule_used","small_cell_suppression_applied","emits_only_aggregate_counts","query_executable","reviewer_notes"
"mcl_triangle_asct_hdt_first_line","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","asct_hdt_first_line","first_line_window","public.RKKP_LYFO","patientid","Beh_Stamcelleinfusion_dt","LYFO Beh_* ASCT/HDT fields",TRUE,TRUE,TRUE,"aggregate_evidence_found_requires_validation"
"mcl_triangle_asct_hdt_relapse_recurrence","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","asct_hdt_relapse_recurrence","follow_up_outcome","public.RKKP_LYFO","patientid","Rec_Stamcelleinfusion_dt","LYFO Rec_* relapse/recurrence ASCT/HDT fields",TRUE,TRUE,TRUE,"aggregate_evidence_found_requires_validation"
"mcl_triangle_ibrutinib_exposure","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","ibrutinib_exposure","first_line_window","RKKP_LYFO; SDS_indberetningmedpris","patientid","Beh_KemoterapiStart_dt","deduplicated validated Ibrutinib union: RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27",TRUE,TRUE,TRUE,"expanded_atc_sks_validated_with_source_failures"
"mcl_triangle_os_death","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","os_death","follow_up_outcome","public.RKKP_LYFO","patientid","FU_Doedsdato;CPR_Doedsdato","LYFO death/status fields",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
"mcl_triangle_relapse_progression_ffs_proxy","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","relapse_progression_ffs_proxy","follow_up_outcome","public.RKKP_LYFO","patientid","Rec_RelapsProgressions_dt","LYFO relapse/progression date",TRUE,TRUE,TRUE,"mapped_for_production_aggregate"
"mcl_triangle_ki67_aeki","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","ki67_aeki","diagnosis_minus_180_to_plus_90_days; diagnosis_plus_minus_90_days; before_first_line_if_available","public.SDS_pato","patientid","","SDS_pato.c_snomedkode valid AEKI000-AEKI100",TRUE,TRUE,TRUE,"aggregate_evidence_found_requires_validation"
"mcl_triangle_tp53_p53_del17p","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","tp53_p53_del17p","near_diagnosis","","","","",TRUE,TRUE,FALSE,"No validated value mapping for tp53_p53_del17p"
"mcl_triangle_blastoid_pleomorphic_morphology","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","blastoid_pleomorphic_morphology","near_diagnosis","","","","",TRUE,TRUE,FALSE,"No validated value mapping for blastoid_pleomorphic_morphology"
"mcl_triangle_mipi_mipic_components","mcl_triangle_data_point_counts.csv","all_lyfo_mcl","mipi_mipic_components","near_diagnosis","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","MIPI/MIPI-c component availability",TRUE,TRUE,TRUE,"aggregate_evidence_found_requires_validation"
"mcl_triangle_toxicity_proxies","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","toxicity_proxies","follow_up_outcome","","","","",TRUE,TRUE,FALSE,"No validated value mapping for toxicity_proxies"
"mcl_triangle_alive_at_landmark","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","alive_at_landmark","pre_landmark","RKKP_LYFO; patient/death","patientid","landmark_after_first_line_start","alive at landmark date-window",TRUE,TRUE,FALSE,"Landmark-compatible alive status requires a dedicated first-line-date/death-date window query; ever-observed status is not used."
"mcl_triangle_event_free_pre_landmark","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","event_free_pre_landmark","pre_landmark","RKKP_LYFO","patientid","landmark_after_first_line_start","no event before landmark date-window",TRUE,TRUE,FALSE,"Event-free pre-landmark status requires a dedicated first-line-date/event-date window query."
"mcl_triangle_asct_hdt_status_known_landmark","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","asct_hdt_status_known_landmark","post_landmark","RKKP_LYFO Beh_*","patientid","landmark_after_first_line_start","ASCT/HDT status at/after landmark",TRUE,TRUE,FALSE,"ASCT/HDT status at/after landmark requires a dedicated date-window query; ever-observed ASCT status is not landmark-compatible."
"mcl_triangle_ibrutinib_status_known_landmark","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","ibrutinib_status_known_landmark","post_landmark","RKKP_LYFO; medication/code sources","patientid","landmark_after_first_line_start","ibrutinib status at/after landmark",TRUE,TRUE,FALSE,"Ibrutinib status at/after landmark requires a dedicated medication/regimen timing query; ever-observed exposure is not landmark-compatible."
"mcl_triangle_high_risk_biology_pre_landmark","mcl_triangle_data_point_counts.csv","younger_mcl_proxy_age_le_65","high_risk_biology_pre_landmark","pre_landmark","Ki-67; TP53; morphology; MIPI inputs","patientid","landmark_after_first_line_start","high-risk biology classifiable before landmark",TRUE,TRUE,FALSE,"High-risk biology before landmark requires validated component timing and classifiability rules."
"mcl_triangle_ki67_aeki_code_counts","mcl_triangle_ki67_aeki_code_counts.csv","all_lyfo_mcl","ki67_aeki","ever_available","RKKP_LYFO; SDS_pato","patientid","","AEKI000-AEKI100",TRUE,TRUE,TRUE,"Aggregate AEKI code count query."
"mcl_triangle_ki67_threshold_counts","mcl_triangle_ki67_threshold_counts.csv","all_lyfo_mcl","ki67_aeki","ever_available","RKKP_LYFO; SDS_pato","patientid","","AEKI parsed percent >= 30",TRUE,TRUE,TRUE,"Aggregate Ki-67 threshold query; does not infer standard-risk biology."
"mcl_triangle_ki67_text_pattern_counts","mcl_triangle_ki67_text_pattern_counts.csv","all_lyfo_mcl","ki67_text_numeric_candidate","ever_available","SDS_pato; SDS_t_mikro_ny; SDS_t_konk_ny","patientid via SDS_pato where validated","","Ki-67/MIB/proliferation aggregate text patterns",TRUE,TRUE,TRUE,"Text scan explicitly enabled; no raw text emitted."
